dt,Celsius,State,AverageTemperature
19000101,6.286,Alabama,43.3148
19000101,23.739,Alaska,74.7302
19000101,7.265,Arizona,45.077
19000101,5.377,Arkansas,41.6786
19000101,7.876,California,46.1768
19000101,2.588,Colorado,36.6584
19000101,1.765,Connecticut,35.177
19000101,1.367,Delaware,34.4606
19000101,0.422,District Of Columbia,32.7596
19000101,13.439,Florida,56.1902
19000101,6.815,Georgia ,44.267
19000101,20.324,Hawaii,68.5832
19000101,3.095,Idaho,37.571
19000101,0.687,Illinois,33.2366
19000101,0.492,Indiana,32.8856
19000101,3.873,Iowa,38.9714
19000101,1.433,Kansas,34.5794
19000101,1.925,Kentucky,35.465
19000101,9.291,Louisiana,48.7238
19000101,9.081,Maine,48.3458
19000101,1.153,Maryland,34.0754
19000101,4.135,Massachusetts,39.443
19000101,4.566,Michigan,40.2188
19000101,9.022,Minnesota,48.2396
19000101,7.146,Mississippi,44.8628
19000101,1.106,Missouri,33.9908
19000101,3.499,Montana,38.2982
19000101,1.605,Nebraska,34.889
19000101,2.188,Nevada,35.9384
19000101,7.593,New Hampshire,45.6674
19000101,0.55,New Jersey,32.99
19000101,3.186,New Mexico,37.7348
19000101,4.999,New York,40.9982
19000101,4.277,North Carolina,39.6986
19000101,8.542,North Dakota,47.3756
19000101,0.949,Ohio,33.7082
19000101,4.675,Oklahoma,40.415
19000101,2.067,Oregon,35.7206
19000101,2.205,Pennsylvania,35.969
19000101,1.799,Rhode Island,35.2382
19000101,6.618,South Carolina,43.9124
19000101,4.261,South Dakota,39.6698
19000101,3.008,Tennessee,37.4144
19000101,8.53,Texas,47.354
19000101,0.687,Utah,33.2366
19000101,7.85,Vermont,46.13
19000101,1.919,Virginia,35.4542
19000101,1.104,Washington,33.9872
19000101,0.118,West Virginia,32.2124
19000101,6.418,Wisconsin,43.5524
19000101,3.896,Wyoming,39.0128
19000102,6.523,Alabama,43.7414
19000102,15.789,Alaska,60.4202
19000102,7.527,Arizona,45.5486
19000102,3.521,Arkansas,38.3378
19000102,8.64,California,47.552
19000102,4.046,Colorado,39.2828
19000102,2.392,Connecticut,36.3056
19000102,0.39,Delaware,32.702
19000102,0.325,District Of Columbia,32.585
19000102,14.62,Florida,58.316
19000102,7.465,Georgia ,45.437
19000102,20.236,Hawaii,68.4248
19000102,4.047,Idaho,39.2846
19000102,4.938,Illinois,40.8884
19000102,3.825,Indiana,38.885
19000102,9.72,Iowa,49.496
19000102,2.434,Kansas,36.3812
19000102,0.409,Kentucky,32.7362
19000102,9.388,Louisiana,48.8984
19000102,8.551,Maine,47.3918
19000102,0.261,Maryland,32.4698
19000102,4.389,Massachusetts,39.9002
19000102,9.321,Michigan,48.7778
19000102,15.872,Minnesota,60.5696
19000102,6.897,Mississippi,44.4146
19000102,3.265,Missouri,37.877
19000102,8.61,Montana,47.498
19000102,6.595,Nebraska,43.871
19000102,2.392,Nevada,36.3056
19000102,7.594,New Hampshire,45.6692
19000102,1.152,New Jersey,34.0736
19000102,3.031,New Mexico,37.4558
19000102,5.892,New York,42.6056
19000102,3.706,North Carolina,38.6708
19000102,15.947,North Dakota,60.7046
19000102,3.66,Ohio,38.588
19000102,2.709,Oklahoma,36.8762
19000102,1.473,Oregon,34.6514
19000102,3.795,Pennsylvania,38.831
19000102,2.398,Rhode Island,36.3164
19000102,6.591,South Carolina,43.8638
19000102,10.152,South Dakota,50.2736
19000102,1.742,Tennessee,35.1356
19000102,8.242,Texas,46.8356
19000102,0.562,Utah,33.0116
19000102,7.969,Vermont,46.3442
19000102,0.985,Virginia,33.773
19000102,0.21,Washington,32.378
19000102,1.575,West Virginia,34.835
19000102,12.611,Wisconsin,54.6998
19000102,7.276,Wyoming,45.0968
19000103,11.213,Alabama,52.1834
19000103,12.253,Alaska,54.0554
19000103,12.735,Arizona,54.923
19000103,9.868,Arkansas,49.7624
19000103,12.203,California,53.9654
19000103,2.78,Colorado,37.004
19000103,0.307,Connecticut,32.5526
19000103,3.02,Delaware,37.436
19000103,2.726,District Of Columbia,36.9068
19000103,17.35,Florida,63.23
19000103,11.834,Georgia ,53.3012
19000103,20.942,Hawaii,69.6956
19000103,3.247,Idaho,37.8446
19000103,1.486,Illinois,34.6748
19000103,1.232,Indiana,34.2176
19000103,0.923,Iowa,33.6614
19000103,5.441,Kansas,41.7938
19000103,5.213,Kentucky,41.3834
19000103,14.051,Louisiana,57.2918
19000103,5.846,Maine,42.5228
19000103,3.205,Maryland,37.769
19000103,2,Massachusetts,35.6
19000103,5.462,Michigan,41.8316
19000103,6.06,Minnesota,42.908
19000103,11.809,Mississippi,53.2562
19000103,4.706,Missouri,40.4708
19000103,0.003,Montana,32.0054
19000103,1.938,Nebraska,35.4884
19000103,7.544,Nevada,45.5792
19000103,5.098,New Hampshire,41.1764
19000103,1.369,New Jersey,34.4642
19000103,8.337,New Mexico,47.0066
19000103,4.404,New York,39.9272
19000103,7.857,North Carolina,46.1426
19000103,5.911,North Dakota,42.6398
19000103,0.386,Ohio,32.6948
19000103,9.574,Oklahoma,49.2332
19000103,6.807,Oregon,44.2526
19000103,1.111,Pennsylvania,33.9998
19000103,0.252,Rhode Island,32.4536
19000103,10.796,South Carolina,51.4328
19000103,1.564,South Dakota,34.8152
19000103,7.209,Tennessee,44.9762
19000103,13.58,Texas,56.444
19000103,5.77,Utah,42.386
19000103,5.838,Vermont,42.5084
19000103,5.097,Virginia,41.1746
19000103,6.048,Washington,42.8864
19000103,2.651,West Virginia,36.7718
19000103,5.046,Wisconsin,41.0828
19000103,0.571,Wyoming,33.0278
19000104,17.103,Alabama,62.7854
19000104,7.066,Alaska,44.7188
19000104,11.775,Arizona,53.195
19000104,15.933,Arkansas,60.6794
19000104,11.405,California,52.529
19000104,5.027,Colorado,41.0486
19000104,7.576,Connecticut,45.6368
19000104,10.578,Delaware,51.0404
19000104,11.378,District Of Columbia,52.4804
19000104,20.764,Florida,69.3752
19000104,17.554,Georgia ,63.5972
19000104,20.989,Hawaii,69.7802
19000104,5.865,Idaho,42.557
19000104,11.386,Illinois,52.4948
19000104,10.782,Indiana,51.4076
19000104,10.92,Iowa,51.656
19000104,12.311,Kansas,54.1598
19000104,12.569,Kentucky,54.6242
19000104,18.837,Louisiana,65.9066
19000104,3.866,Maine,38.9588
19000104,11.152,Maryland,52.0736
19000104,6.639,Massachusetts,43.9502
19000104,7.084,Michigan,44.7512
19000104,8.755,Minnesota,47.759
19000104,17.431,Mississippi,63.3758
19000104,13.261,Missouri,55.8698
19000104,7.408,Montana,45.3344
19000104,10.142,Nebraska,50.2556
19000104,7.002,Nevada,44.6036
19000104,4.871,New Hampshire,40.7678
19000104,9.77,New Jersey,49.586
19000104,9.364,New Mexico,48.8552
19000104,6.622,New York,43.9196
19000104,13.956,North Carolina,57.1208
19000104,9.332,North Dakota,48.7976
19000104,9.707,Ohio,49.4726
19000104,15.33,Oklahoma,59.594
19000104,7.09,Oregon,44.762
19000104,8.551,Pennsylvania,47.3918
19000104,7.486,Rhode Island,45.4748
19000104,16.548,South Carolina,61.7864
