dt,Celsius,State,AverageTemperature
19700101,3.739,Alabama,38.7302
19700101,23.322,Alaska,73.9796
19700101,4.821,Arizona,40.6778
19700101,1.196,Arkansas,34.1528
19700101,7.174,California,44.9132
19700101,4.346,Colorado,39.8228
19700101,6.693,Connecticut,44.0474
19700101,3.184,Delaware,37.7312
19700101,3.649,District Of Columbia,38.5682
19700101,12.105,Florida,53.789
19700101,4.345,Georgia ,39.821
19700101,21.354,Hawaii,70.4372
19700101,4.346,Idaho,39.8228
19700101,7.401,Illinois,45.3218
19700101,6.838,Indiana,44.3084
19700101,11.725,Iowa,53.105
19700101,3.081,Kansas,37.5458
19700101,2.939,Kentucky,37.2902
19700101,6.957,Louisiana,44.5226
19700101,13.267,Maine,55.8806
19700101,2.921,Maryland,37.2578
19700101,9.311,Massachusetts,48.7598
19700101,9.703,Michigan,49.4654
19700101,16.463,Minnesota,61.6334
19700101,4.49,Mississippi,40.082
19700101,4.568,Missouri,40.2224
19700101,9.645,Montana,49.361
19700101,7.031,Nebraska,44.6558
19700101,0.262,Nevada,32.4716
19700101,12.585,New Hampshire,54.653
19700101,5.262,New Jersey,41.4716
19700101,0.696,New Mexico,33.2528
19700101,10.862,New York,51.5516
19700101,1.187,North Carolina,34.1366
19700101,16.627,North Dakota,61.9286
19700101,6.51,Ohio,43.718
19700101,0.414,Oklahoma,32.7452
19700101,1.021,Oregon,33.8378
19700101,7.31,Pennsylvania,45.158
19700101,6.65,Rhode Island,43.97
19700101,3.669,South Carolina,38.6042
19700101,12.191,South Dakota,53.9438
19700101,0.949,Tennessee,33.7082
19700101,5.695,Texas,42.251
19700101,2.133,Utah,35.8394
19700101,13.396,Vermont,56.1128
19700101,1.618,Virginia,34.9124
19700101,1.735,Washington,35.123
19700101,4.262,West Virginia,39.6716
19700101,13.283,Wisconsin,55.9094
19700101,6.325,Wyoming,43.385
19700102,7.219,Alabama,44.9942
19700102,13.627,Alaska,56.5286
19700102,8.875,Arizona,47.975
19700102,5.639,Arkansas,42.1502
19700102,9.491,California,49.0838
19700102,0.142,Colorado,32.2556
19700102,1.69,Connecticut,35.042
19700102,1.398,Delaware,34.5164
19700102,0.722,District Of Columbia,33.2996
19700102,13.777,Florida,56.7986
19700102,8.224,Georgia ,46.8032
19700102,20.509,Hawaii,68.9162
19700102,0.693,Idaho,33.2474
19700102,1.777,Illinois,35.1986
19700102,1.74,Indiana,35.132
19700102,4.003,Iowa,39.2054
19700102,3.354,Kansas,38.0372
19700102,1.131,Kentucky,34.0358
19700102,10.259,Louisiana,50.4662
19700102,8.369,Maine,47.0642
19700102,1.377,Maryland,34.4786
19700102,3.659,Massachusetts,38.5862
19700102,7.133,Michigan,44.8394
19700102,11.227,Minnesota,52.2086
19700102,7.682,Mississippi,45.8276
19700102,1.151,Missouri,34.0718
19700102,2.908,Montana,37.2344
19700102,0.165,Nebraska,32.297
19700102,4.024,Nevada,39.2432
19700102,6.759,New Hampshire,44.1662
19700102,0.51,New Jersey,32.918
19700102,4.836,New Mexico,40.7048
19700102,5.598,New York,42.0764
19700102,5.14,North Carolina,41.252
19700102,10.034,North Dakota,50.0612
19700102,2.041,Ohio,35.6738
19700102,6.312,Oklahoma,43.3616
19700102,3.776,Oregon,38.7968
19700102,3.039,Pennsylvania,37.4702
19700102,1.643,Rhode Island,34.9574
19700102,7.691,South Carolina,45.8438
19700102,4.169,South Dakota,39.5042
19700102,3.204,Tennessee,37.7672
19700102,10.011,Texas,50.0198
19700102,2.124,Utah,35.8232
19700102,7.327,Vermont,45.1886
19700102,2.462,Virginia,36.4316
19700102,2.664,Washington,36.7952
19700102,0.163,West Virginia,32.2934
19700102,8.667,Wisconsin,47.6006
19700102,1.605,Wyoming,34.889
19700103,11.957,Alabama,53.5226
19700103,10.684,Alaska,51.2312
19700103,8.879,Arizona,47.9822
19700103,8.588,Arkansas,47.4584
19700103,10.143,California,50.2574
19700103,1.031,Colorado,33.8558
19700103,1.042,Connecticut,33.8756
19700103,3.718,Delaware,38.6924
19700103,3.665,District Of Columbia,38.597
19700103,18.224,Florida,64.8032
19700103,13.372,Georgia ,56.0696
19700103,20.89,Hawaii,69.602
19700103,0.329,Idaho,32.5922
19700103,2.83,Illinois,37.094
19700103,2.801,Indiana,37.0418
19700103,0.167,Iowa,32.3006
19700103,3.354,Kansas,38.0372
19700103,6.004,Kentucky,42.8072
19700103,13.871,Louisiana,56.9678
19700103,3.012,Maine,37.4216
19700103,4.003,Maryland,39.2054
19700103,0.145,Massachusetts,32.261
19700103,2.95,Michigan,37.31
19700103,6.337,Minnesota,43.4066
19700103,11.996,Mississippi,53.5928
19700103,4.382,Missouri,39.8876
19700103,3.132,Montana,37.6376
19700103,0.199,Nebraska,32.3582
19700103,3.94,Nevada,39.092
19700103,2.241,New Hampshire,36.0338
19700103,2.39,New Jersey,36.302
19700103,5.039,New Mexico,41.0702
19700103,1.495,New York,34.691
19700103,9.201,North Carolina,48.5618
19700103,7.758,North Dakota,45.9644
19700103,2.13,Ohio,35.834
19700103,7.356,Oklahoma,45.2408
19700103,3.902,Oregon,39.0236
19700103,0.496,Pennsylvania,32.8928
19700103,1.055,Rhode Island,33.899
19700103,12.523,South Carolina,54.5414
19700103,3.322,South Dakota,37.9796
19700103,7.989,Tennessee,46.3802
19700103,11.377,Texas,52.4786
19700103,1.961,Utah,35.5298
19700103,2.663,Vermont,36.7934
19700103,5.843,Virginia,42.5174
19700103,3.653,Washington,38.5754
19700103,3.751,West Virginia,38.7518
19700103,3.222,Wisconsin,37.7996
19700103,2.944,Wyoming,37.2992
19700104,18.911,Alabama,66.0398
19700104,6.583,Alaska,43.8494
19700104,11.186,Arizona,52.1348
19700104,17.219,Arkansas,62.9942
19700104,10.338,California,50.6084
19700104,3.464,Colorado,38.2352
19700104,7.53,Connecticut,45.554
19700104,10.29,Delaware,50.522
19700104,11.225,District Of Columbia,52.205
19700104,22.515,Florida,72.527
19700104,19.005,Georgia ,66.209
19700104,21.377,Hawaii,70.4786
19700104,1.656,Idaho,34.9808
19700104,12.052,Illinois,53.6936
19700104,11.894,Indiana,53.4092
19700104,10.002,Iowa,50.0036
19700104,11.635,Kansas,52.943
19700104,14.423,Kentucky,57.9614
19700104,20.631,Louisiana,69.1358
19700104,3.355,Maine,38.039
19700104,11.241,Maryland,52.2338
19700104,6.78,Massachusetts,44.204
19700104,6.337,Michigan,43.4066
19700104,4.549,Minnesota,40.1882
19700104,19.478,Mississippi,67.0604
19700104,13.527,Missouri,56.3486
19700104,1.987,Montana,35.5766
19700104,7.934,Nebraska,46.2812
19700104,5.156,Nevada,41.2808
19700104,4.95,New Hampshire,40.91
19700104,9.417,New Jersey,48.9506
19700104,9.522,New Mexico,49.1396
19700104,6.924,New York,44.4632
19700104,15.571,North Carolina,60.0278
19700104,2.815,North Dakota,37.067
19700104,11.07,Ohio,51.926
19700104,15.527,Oklahoma,59.9486
19700104,4.128,Oregon,39.4304
19700104,9.091,Pennsylvania,48.3638
19700104,7.445,Rhode Island,45.401
19700104,18.146,South Carolina,64.6628
19700104,5.337,South Dakota,41.6066
19700104,15.529,Tennessee,59.9522
19700104,18.531,Texas,65.3558
19700104,4.281,Utah,39.7058
19700104,4.865,Vermont,40.757
19700104,13.139,Virginia,55.6502
19700104,5.133,Washington,41.2394
19700104,11.846,West Virginia,53.3228
19700104,6.957,Wisconsin,44.5226
19700104,0.939,Wyoming,33.6902
19700105,21.887,Alabama,71.3966
19700105,3.493,Alaska,38.2874
19700105,19.409,Arizona,66.9362
19700105,21.334,Arkansas,70.4012
19700105,17.305,California,63.149
19700105,12.21,Colorado,53.978
19700105,14.115,Connecticut,57.407
19700105,17.13,Delaware,62.834
19700105,18.766,District Of Columbia,65.7788
19700105,23.945,Florida,75.101
19700105,22.076,Georgia ,71.7368
19700105,22.662,Hawaii,72.7916
19700105,9.51,Idaho,49.118
19700105,18.681,Illinois,65.6258
19700105,18.55,Indiana,65.39
19700105,17.701,Iowa,63.8618
19700105,19.915,Kansas,67.847
19700105,19.654,Kentucky,67.3772
19700105,22.873,Louisiana,73.1714
19700105,10.673,Maine,51.2114
19700105,18.353,Maryland,65.0354
19700105,14.029,Massachusetts,57.2522
19700105,12.568,Michigan,54.6224
19700105,11.878,Minnesota,53.3804
19700105,22.333,Mississippi,72.1994
19700105,19.882,Missouri,67.7876
19700105,10.554,Montana,50.9972
19700105,16.997,Nebraska,62.5946
19700105,13.64,Nevada,56.552
19700105,12.85,New Hampshire,55.13
19700105,16.448,New Jersey,61.6064
19700105,16.395,New Mexico,61.511
19700105,13.948,New York,57.1064
19700105,19.983,North Carolina,67.9694
19700105,11.304,North Dakota,52.3472
19700105,17.839,Ohio,64.1102
19700105,21.32,Oklahoma,70.376
19700105,10.793,Oregon,51.4274
19700105,16.271,Pennsylvania,61.2878
19700105,14.051,Rhode Island,57.2918
19700105,21.828,South Carolina,71.2904
19700105,14.483,South Dakota,58.0694
19700105,19.863,Tennessee,67.7534
19700105,21.692,Texas,71.0456
19700105,12.932,Utah,55.2776
19700105,12.598,Vermont,54.6764
19700105,18.958,Virginia,66.1244
19700105,10.942,Washington,51.6956
19700105,17.84,West Virginia,64.112
19700105,13.39,Wisconsin,56.102
19700105,10.064,Wyoming,50.1152
19700106,24.436,Alabama,75.9848
19700106,8.717,Alaska,47.6906
19700106,24.044,Arizona,75.2792
19700106,24.247,Arkansas,75.6446
19700106,20.836,California,69.5048
19700106,15.95,Colorado,60.71
19700106,18.164,Connecticut,64.6952
19700106,21.014,Delaware,69.8252
19700106,21.985,District Of Columbia,71.573
19700106,26.166,Florida,79.0988
19700106,24.661,Georgia ,76.3898
19700106,23.203,Hawaii,73.7654
19700106,15.039,Idaho,59.0702
19700106,21.52,Illinois,70.736
19700106,21.533,Indiana,70.7594
19700106,21.532,Iowa,70.7576
19700106,22.718,Kansas,72.8924
19700106,22.396,Kentucky,72.3128
19700106,26.003,Louisiana,78.8054
19700106,15.732,Maine,60.3176
19700106,21.766,Maryland,71.1788
19700106,17.697,Massachusetts,63.8546
19700106,17.666,Michigan,63.7988
19700106,19.369,Minnesota,66.8642
19700106,25.23,Mississippi,77.414
19700106,22.324,Missouri,72.1832
19700106,16.835,Montana,62.303
19700106,20.861,Nebraska,69.5498
19700106,18.344,Nevada,65.0192
19700106,16.923,New Hampshire,62.4614
19700106,20.126,New Jersey,68.2268
19700106,20.195,New Mexico,68.351
19700106,17.898,New York,64.2164
19700106,23.216,North Carolina,73.7888
19700106,19.657,North Dakota,67.3826
19700106,21.027,Ohio,69.8486
19700106,24.849,Oklahoma,76.7282
19700106,16.073,Oregon,60.9314
19700106,19.191,Pennsylvania,66.5438
19700106,18.087,Rhode Island,64.5566
19700106,24.937,South Carolina,76.8866
19700106,20.394,South Dakota,68.7092
19700106,22.491,Tennessee,72.4838
19700106,25.599,Texas,78.0782
19700106,17.562,Utah,63.6116
19700106,16.838,Vermont,62.3084
19700106,22.182,Virginia,71.9276
19700106,16.466,Washington,61.6388
19700106,20.627,West Virginia,69.1286
19700106,19.035,Wisconsin,66.263
19700106,14.975,Wyoming,58.955
19700107,26.36,Alabama,79.448
19700107,10.981,Alaska,51.7658
19700107,27.555,Arizona,81.599
19700107,25.937,Arkansas,78.6866
19700107,24.57,California,76.226
19700107,19.926,Colorado,67.8668
19700107,21.841,Connecticut,71.3138
19700107,23.574,Delaware,74.4332
19700107,24.292,District Of Columbia,75.7256
19700107,27.434,Florida,81.3812
19700107,26.624,Georgia ,79.9232
19700107,23.477,Hawaii,74.2586
19700107,18.67,Idaho,65.606
19700107,24.205,Illinois,75.569
19700107,23.61,Indiana,74.498
19700107,23.727,Iowa,74.7086
19700107,26.34,Kansas,79.412
19700107,24.107,Kentucky,75.3926
19700107,27.161,Louisiana,80.8898
19700107,19.66,Maine,67.388
19700107,23.91,Maryland,75.038
19700107,21.34,Massachusetts,70.412
19700107,20.862,Michigan,69.5516
19700107,21.812,Minnesota,71.2616
19700107,26.514,Mississippi,79.7252
19700107,25.081,Missouri,77.1458
19700107,19.743,Montana,67.5374
19700107,24.212,Nebraska,75.5816
19700107,23.017,Nevada,73.4306
19700107,20.45,New Hampshire,68.81
19700107,23.152,New Jersey,73.6736
19700107,23.429,New Mexico,74.1722
19700107,21.012,New York,69.8216
19700107,25.161,North Carolina,77.2898
19700107,21.757,North Dakota,71.1626
19700107,22.955,Ohio,73.319
19700107,27.843,Oklahoma,82.1174
19700107,18.829,Oregon,65.8922
19700107,21.887,Pennsylvania,71.3966
19700107,21.802,Rhode Island,71.2436
19700107,27.02,South Carolina,80.636
19700107,23.605,South Dakota,74.489
19700107,24.305,Tennessee,75.749
19700107,27.847,Texas,82.1246
19700107,21.876,Utah,71.3768
19700107,20.187,Vermont,68.3366
19700107,23.998,Virginia,75.1964
19700107,18.386,Washington,65.0948
19700107,22.437,West Virginia,72.3866
19700107,21.663,Wisconsin,70.9934
19700107,19.046,Wyoming,66.2828
19700108,26.543,Alabama,79.7774
19700108,9.021,Alaska,48.2378
19700108,26.712,Arizona,80.0816
19700108,26.567,Arkansas,79.8206
19700108,23.876,California,74.9768
19700108,20.065,Colorado,68.117
19700108,21.727,Connecticut,71.1086
19700108,23.908,Delaware,75.0344
19700108,24.008,District Of Columbia,75.2144
19700108,27.608,Florida,81.6944
19700108,26.531,Georgia ,79.7558
19700108,24.113,Hawaii,75.4034
19700108,18.75,Idaho,65.75
19700108,23.431,Illinois,74.1758
19700108,22.993,Indiana,73.3874
19700108,22.632,Iowa,72.7376
19700108,27.112,Kansas,80.8016
19700108,24.229,Kentucky,75.6122
19700108,27.818,Louisiana,82.0724
19700108,18.404,Maine,65.1272
19700108,23.873,Maryland,74.9714
19700108,20.752,Massachusetts,69.3536
19700108,19.915,Michigan,67.847
19700108,20.128,Minnesota,68.2304
19700108,26.967,Mississippi,80.5406
19700108,25.231,Missouri,77.4158
19700108,19.572,Montana,67.2296
19700108,24.308,Nebraska,75.7544
19700108,22.895,Nevada,73.211
19700108,19.31,New Hampshire,66.758
19700108,23.097,New Jersey,73.5746
19700108,22.76,New Mexico,72.968
19700108,20.374,New York,68.6732
19700108,24.666,North Carolina,76.3988
19700108,20.702,North Dakota,69.2636
19700108,22.465,Ohio,72.437
19700108,28.526,Oklahoma,83.3468
19700108,18.381,Oregon,65.0858
19700108,21.459,Pennsylvania,70.6262
19700108,21.676,Rhode Island,71.0168
19700108,26.33,South Carolina,79.394
19700108,23.118,South Dakota,73.6124
19700108,24.815,Tennessee,76.667
19700108,28.103,Texas,82.5854
19700108,22.121,Utah,71.8178
19700108,19.113,Vermont,66.4034
19700108,23.586,Virginia,74.4548
19700108,17.752,Washington,63.9536
19700108,22.137,West Virginia,71.8466
19700108,20.13,Wisconsin,68.234
19700108,19.567,Wyoming,67.2206
19700109,25.584,Alabama,78.0512
19700109,1.893,Alaska,35.4074
19700109,21.218,Arizona,70.1924
19700109,24.34,Arkansas,75.812
19700109,19.783,California,67.6094
19700109,13.021,Colorado,55.4378
19700109,17.814,Connecticut,64.0652
19700109,21.555,Delaware,70.799
19700109,21.702,District Of Columbia,71.0636
19700109,27.241,Florida,81.0338
19700109,25.473,Georgia ,77.8514
19700109,23.809,Hawaii,74.8562
19700109,9.81,Idaho,49.658
19700109,20.532,Illinois,68.9576
19700109,20.916,Indiana,69.6488
19700109,17.776,Iowa,63.9968
19700109,20,Kansas,68
19700109,22.98,Kentucky,73.364
19700109,26.443,Louisiana,79.5974
19700109,12.898,Maine,55.2164
19700109,21.773,Maryland,71.1914
19700109,16.351,Massachusetts,61.4318
19700109,15.636,Michigan,60.1448
19700109,14.708,Minnesota,58.4744
19700109,25.984,Mississippi,78.7712
19700109,21.444,Missouri,70.5992
19700109,10.853,Montana,51.5354
19700109,17.034,Nebraska,62.6612
19700109,14.702,Nevada,58.4636
19700109,14.488,New Hampshire,58.0784
19700109,20.02,New Jersey,68.036
19700109,17.935,New Mexico,64.283
19700109,16.46,New York,61.628
19700109,23.317,North Carolina,73.9706
19700109,14.067,North Dakota,57.3206
19700109,20.459,Ohio,68.8262
19700109,23.585,Oklahoma,74.453
19700109,12.001,Oregon,53.6018
19700109,18.737,Pennsylvania,65.7266
19700109,17.731,Rhode Island,63.9158
19700109,24.976,South Carolina,76.9568
19700109,16.248,South Dakota,61.2464
19700109,23.506,Tennessee,74.3108
19700109,24.495,Texas,76.091
19700109,13.801,Utah,56.8418
19700109,14.42,Vermont,57.956
19700109,22.095,Virginia,71.771
19700109,11.573,Washington,52.8314
19700109,20.623,West Virginia,69.1214
19700109,15.334,Wisconsin,59.6012
19700109,10.612,Wyoming,51.1016
19700110,18.144,Alabama,64.6592
19700110,8.812,Alaska,47.8616
19700110,14.016,Arizona,57.2288
19700110,15.311,Arkansas,59.5598
19700110,14.402,California,57.9236
19700110,5.123,Colorado,41.2214
19700110,12.415,Connecticut,54.347
19700110,14.936,Delaware,58.8848
19700110,14.833,District Of Columbia,58.6994
19700110,23.814,Florida,74.8652
19700110,19.442,Georgia ,66.9956
19700110,23.714,Hawaii,74.6852
19700110,4.039,Idaho,39.2702
19700110,12.931,Illinois,55.2758
19700110,13.167,Indiana,55.7006
19700110,10.667,Iowa,51.2006
19700110,11.432,Kansas,52.5776
19700110,14.627,Kentucky,58.3286
19700110,18.688,Louisiana,65.6384
19700110,8.687,Maine,47.6366
19700110,15.115,Maryland,59.207
19700110,10.944,Massachusetts,51.6992
19700110,10.493,Michigan,50.8874
19700110,7.725,Minnesota,45.905
19700110,17.593,Mississippi,63.6674
19700110,13.12,Missouri,55.616
19700110,4.538,Montana,40.1684
19700110,8.489,Nebraska,47.2802
19700110,8.429,Nevada,47.1722
19700110,9.39,New Hampshire,48.902
19700110,13.515,New Jersey,56.327
19700110,9.871,New Mexico,49.7678
19700110,10.955,New York,51.719
19700110,16.652,North Carolina,61.9736
19700110,6.039,North Dakota,42.8702
19700110,13.188,Ohio,55.7384
19700110,14.654,Oklahoma,58.3772
19700110,7.48,Oregon,45.464
19700110,12.327,Pennsylvania,54.1886
19700110,12.366,Rhode Island,54.2588
19700110,18.753,South Carolina,65.7554
19700110,7.599,South Dakota,45.6782
19700110,15.264,Tennessee,59.4752
19700110,16.96,Texas,62.528
19700110,6.695,Utah,44.051
19700110,9.378,Vermont,48.8804
19700110,15.06,Virginia,59.108
19700110,7.004,Washington,44.6072
19700110,13.489,West Virginia,56.2802
19700110,9.784,Wisconsin,49.6112
19700110,3.512,Wyoming,38.3216
19700111,10.15,Alabama,50.27
19700111,11.362,Alaska,52.4516
19700111,10.299,Arizona,50.5382
19700111,9.223,Arkansas,48.6014
19700111,10.727,California,51.3086
19700111,1.599,Colorado,34.8782
19700111,7.055,Connecticut,44.699
19700111,9.021,Delaware,48.2378
19700111,7.822,District Of Columbia,46.0796
19700111,16.486,Florida,61.6748
19700111,11.013,Georgia ,51.8234
19700111,22.852,Hawaii,73.1336
19700111,0.292,Idaho,32.5256
19700111,4.983,Illinois,40.9694
19700111,5.277,Indiana,41.4986
19700111,2.414,Iowa,36.3452
19700111,5.078,Kansas,41.1404
19700111,7.417,Kentucky,45.3506
19700111,12.577,Louisiana,54.6386
19700111,2.14,Maine,35.852
19700111,8.452,Maryland,47.2136
19700111,5.152,Massachusetts,41.2736
19700111,2.777,Michigan,36.9986
19700111,1.991,Minnesota,35.5838
19700111,10.83,Mississippi,51.494
19700111,5.947,Missouri,42.7046
19700111,2.038,Montana,35.6684
19700111,2.273,Nebraska,36.0914
19700111,4.964,Nevada,40.9352
19700111,3.055,New Hampshire,37.499
19700111,7.678,New Jersey,45.8204
19700111,6.353,New Mexico,43.4354
19700111,4.77,New York,40.586
19700111,10.038,North Carolina,50.0684
19700111,3.597,North Dakota,38.4746
19700111,5.835,Ohio,42.503
19700111,8.37,Oklahoma,47.066
19700111,4.186,Oregon,39.5348
19700111,5.907,Pennsylvania,42.6326
19700111,7.008,Rhode Island,44.6144
