dt,AverageTemperature,State
19000101,6.286,Alabama
19000102,6.523,Alabama
19000103,11.213,Alabama
19000104,17.103,Alabama
19000105,21.311,Alabama
19000106,24.172,Alabama
19000107,26.146,Alabama
19000108,27.122,Alabama
19000109,25.02,Alabama
19000110,19.748,Alabama
19000111,12.333,Alabama
19000112,7.733,Alabama
19010101,7.603,Alabama
19010102,6.04,Alabama
19010103,11.596,Alabama
19010104,13.865,Alabama
19010105,20.816,Alabama
19010106,25.423,Alabama
19010107,27.414,Alabama
19010108,25.456,Alabama
19010109,21.989,Alabama
19010110,16.54,Alabama
19010111,9.099,Alabama
19010112,5.206,Alabama
19020101,5.935,Alabama
19020102,4.654,Alabama
19020103,12.56,Alabama
19020104,16.07,Alabama
19020105,23.739,Alabama
19020106,26.486,Alabama
19020107,27.612,Alabama
19020108,27.221,Alabama
19020109,22.578,Alabama
19020110,16.988,Alabama
19020111,14.019,Alabama
19020112,7.111,Alabama
19030101,6.087,Alabama
19030102,8.737,Alabama
19030103,14.894,Alabama
19030104,15.588,Alabama
19030105,20.483,Alabama
19030106,22.5,Alabama
19030107,26.163,Alabama
19030108,26.489,Alabama
19030109,22.403,Alabama
19030110,16.883,Alabama
19030111,10.281,Alabama
19030112,4.54,Alabama
19040101,5.028,Alabama
19040102,9.128,Alabama
19040103,14.286,Alabama
19040104,15.101,Alabama
19040105,20.563,Alabama
19040106,25.014,Alabama
19040107,25.322,Alabama
19040108,25.312,Alabama
19040109,24.504,Alabama
19040110,17.682,Alabama
19040111,10.848,Alabama
19040112,7.573,Alabama
19050101,3.495,Alabama
19050102,3.716,Alabama
19050103,14.865,Alabama
19050104,17.048,Alabama
19050105,23.073,Alabama
19050106,25.691,Alabama
19050107,25.882,Alabama
19050108,25.742,Alabama
19050109,24.167,Alabama
19050110,17.225,Alabama
19050111,12.763,Alabama
19050112,5.88,Alabama
19060101,7.784,Alabama
19060102,7.122,Alabama
19060103,10.439,Alabama
19060104,17.643,Alabama
19060105,20.54,Alabama
19060106,25.478,Alabama
19060107,25.453,Alabama
19060108,26.349,Alabama
19060109,25.09,Alabama
19060110,15.613,Alabama
19060111,12.755,Alabama
19060112,9.655,Alabama
19070101,12.019,Alabama
19070102,9.124,Alabama
19070103,17.806,Alabama
19070104,14.067,Alabama
19070105,19.752,Alabama
19070106,23.798,Alabama
19070107,26.707,Alabama
19070108,26.448,Alabama
19070109,23.47,Alabama
19070110,16.862,Alabama
19070111,10.515,Alabama
19070112,7.518,Alabama
19080101,6.504,Alabama
19080102,6.719,Alabama
19080103,16.608,Alabama
19080104,19.17,Alabama
19080105,21.629,Alabama
19080106,25.003,Alabama
19080107,26.192,Alabama
19080108,26.006,Alabama
19080109,23.159,Alabama
19080110,15.374,Alabama
19080111,13.639,Alabama
19080112,9.988,Alabama
19090101,9.639,Alabama
19090102,9.88,Alabama
19090103,13.152,Alabama
19090104,16.809,Alabama
